sample_id,label,X_score_scaled
1,0,-0.7079924508881752
2,0,-0.7079924508881752
3,0,-0.7079924508881752
4,0,-0.7079924508881752
5,0,-0.7079924508881752
6,0,-0.7079924508881752
7,0,-0.7079924508881752
8,0,-0.7079924508881752
9,0,-0.6673484303675999
10,0,-0.7079924508881752
11,0,-0.4769632816133259
12,0,-0.5261639380329698
13,0,-0.5565399954746629
14,0,-0.7079924508881752
15,0,-0.12079331231459998
16,1,0.3192316887949973
17,0,-0.7079924508881752
18,0,-0.20379268053556432
19,0,-0.5693749493232656
20,0,-0.5860603893264492
21,0,-0.47589370212594234
22,0,-0.6185756057429095
23,0,-0.6344053821561861
24,0,-0.669487589342367
25,0,-0.6502351585694629
26,0,-0.6617866170332054
27,0,-0.5796429124021478
28,0,-0.7079924508881752
29,0,-0.7079924508881752
30,0,-0.47182930007388485
31,0,-0.5449885370109204
32,0,-0.6829642908833998
33,0,-0.5591069862443835
34,0,-0.544560705215967
35,0,-0.05832987025139995
36,0,-0.6284157370268383
37,0,-0.7079924508881752
38,0,-0.3469024159474849
39,0,-0.5308700877774574
40,0,-0.30690014311933966
41,0,1.5473228562088026
42,0,-0.6470264201073122
43,0,-0.6943018334496657
44,0,-0.7079924508881752
45,0,-0.6677762621625534
46,0,-0.7079924508881752
47,0,-0.23540945018262244
48,0,-0.566807958553545
49,0,-0.5976118477901917
50,0,-0.7079924508881752
51,0,-0.47439629084360535
52,0,-0.5796429124021478
53,0,-0.7079924508881752
54,0,-0.6346192980536629
55,0,-0.5796429124021478
56,0,1.4998335269689722
57,0,0.16093392466223008
58,0,-0.6887400201152711
59,0,-0.5903387072759835
60,0,-0.7079924508881752
61,0,-0.6887400201152711
62,0,-0.6848895339606903
63,0,-0.5539730047049424
64,0,-0.7079924508881752
65,0,-0.6848895339606903
66,0,-0.30561664773447944
67,0,-0.5360040693168986
68,0,-0.6284157370268383
69,0,-0.6617866170332054
70,0,-0.3526781451793561
71,0,-0.7079924508881752
72,0,-0.6104468016387944
73,1,0.0109788805310548
74,0,-0.5710862765030794
75,0,-0.6087354744589807
76,0,-0.5013496939256712
77,0,-0.2534211687501616
78,0,-0.6515186539543232
79,0,-0.5847768939415889
80,0,-0.6121581288186081
81,0,-0.669487589342367
82,0,-0.4624170005849095
83,0,-0.6386837001057204
84,0,-0.5400684713689561
85,0,0.06189086413051238
86,0,-0.3807011277488054
87,0,-0.5120454887995067
88,0,-0.36316002415571497
89,0,-0.03864960768354246
90,0,-0.45899434622528207
91,0,-0.7079924508881752
92,0,-0.7079924508881752
93,0,-0.6307688118990821
94,0,-0.3948195769822684
95,0,-0.6125859606135615
96,0,-0.4897982354619287
97,0,-0.7079924508881752
98,0,-0.09940172256692875
99,0,-0.7079924508881752
100,0,-0.11116709692814794
101,0,-0.5169655544414712
102,1,0.20521451543990954
103,1,0.3207291000773343
104,1,0.8013981217075068
105,1,0.10424621183090135
106,1,-0.7079924508881752
107,1,-0.36914966928506293
108,1,-0.6848895339606903
109,1,0.9817292232803752
110,1,0.5474799514026492
111,1,-0.5342927421370849
112,1,0.06788050925986035
113,1,-0.03265996255419449
114,1,0.8578719186413588
115,1,-0.5452024529083972
116,1,-0.10346612461898623
117,1,-0.30198007747737526
118,1,-0.5591069862443835
119,1,-0.3965309041620821
120,1,-0.10560528359375339
121,1,-0.3469024159474849
122,1,-0.24572019644099996
123,1,-0.3738558190295507
124,1,-0.07694055333187394
125,1,0.4259757216358766
126,1,-0.23309915848987395
127,1,0.3395536990552849
128,1,1.0854784335565808
129,1,0.46597799446402194
130,1,-0.0972625635921616
131,1,-0.01084054101156977
132,1,0.45827702215486027
133,1,-0.24572019644099996
134,1,-0.6386837001057204
135,1,-0.03351562614410132
136,1,0.6135799637229534
137,1,-0.06496126307317808
138,1,0.44651164779364105
139,1,0.9552036519932628
140,1,-0.6594335421609615
141,1,-0.6887400201152711
142,1,0.9042916683938055
143,1,-0.03544086922139173
144,1,1.9302323126921175
145,1,0.19195172979635342
